# Wavelength_[A] Transmission
10182.600 0.96
10185.500 0.95
10188.300 0.94
10191.200 0.94
10194.100 0.94
10196.900 0.94
10199.800 0.95
10202.700 0.96
10205.500 0.96
10208.400 0.97
10211.200 0.96
10214.100 0.95
10217.000 0.95
10219.800 0.94
10222.700 0.94
10225.600 0.95
10228.400 0.96
10231.300 0.96
10234.100 0.96
10237.000 0.96
10239.800 0.97
10242.700 0.97
10245.600 0.97
10248.400 0.97
10251.300 0.96
10254.100 0.96
10257.000 0.95
10259.800 0.94
10262.700 0.94
10265.600 0.94
10268.400 0.93
10271.300 0.94
10274.100 0.95
10277.000 0.95
10279.800 0.95
10282.700 0.95
10285.500 0.96
10288.400 0.96
10291.200 0.95
10294.100 0.95
10296.900 0.94
10299.800 0.93
10302.600 0.92
10305.500 0.92
10308.300 0.91
10311.200 0.92
10314.000 0.92
10316.900 0.94
10319.700 0.95
10322.500 0.96
10325.400 0.98
10328.200 0.98
10331.100 0.99
10333.900 0.98
10336.800 0.98
10339.600 0.97
10342.500 0.98
10345.300 0.97
10348.100 0.95
10351.000 0.94
10353.800 0.92
10356.700 0.90
10359.500 0.89
10362.300 0.89
10365.200 0.90
10368.000 0.91
10370.900 0.93
10373.700 0.95
10376.500 0.97
10379.400 0.99
10382.200 1.00
10385.000 1.00
10387.900 1.00
10390.700 0.99
10393.500 0.99
10396.400 0.97
10399.200 0.97
10402.000 0.96
10404.900 0.96
10407.700 0.95
10410.500 0.95
10413.400 0.94
10416.200 0.93
10419.000 0.93
10421.900 0.92
10424.700 0.93
10427.500 0.93
10430.400 0.93
10433.200 0.93
10436.000 0.94
10438.800 0.95
10441.700 0.96
10444.500 0.97
10447.300 0.97
10450.100 0.99
10453.000 0.99
10455.800 0.99
10458.600 1.00
10461.400 1.00
10464.300 0.99
10467.100 1.00
10469.900 0.99
10472.700 0.99
10475.600 0.98
10478.400 0.98
10481.200 0.96
10484.000 0.92
10486.800 0.91
10489.700 0.89
10492.500 0.88
10495.300 0.89
10498.100 0.94
10500.900 0.94
10503.800 0.94
10506.600 0.92
10509.400 0.92
10512.200 0.90
10515.000 0.90
10517.800 0.92
10520.600 0.95
10523.500 0.93
10526.300 0.94
10529.100 0.95
10531.900 0.95
10534.700 0.96
10537.500 0.99
10540.300 1.00
10543.200 1.00
10546.000 1.01
10548.800 1.00
10551.600 1.01
10554.400 1.00
10557.200 0.98
10560.000 0.98
10562.800 0.97
10565.600 0.95
10568.400 0.94
10571.200 0.94
10574.100 0.94
10576.900 0.92
10579.700 0.92
10582.500 0.94
10585.300 0.93
10588.100 0.90
10590.900 0.92
10593.700 0.88
10596.500 0.85
10599.300 0.85
10602.100 0.91
10604.900 0.91
10607.700 0.95
10610.500 1.00
10613.300 0.99
10616.100 0.94
10618.900 0.94
10621.700 0.94
10624.500 0.94
10627.300 0.94
10630.100 0.98
10632.900 1.00
10635.700 1.01
10638.500 1.01
10641.300 1.01
10644.100 1.00
10646.900 1.00
10649.700 1.00
10652.500 1.00
10655.300 1.01
10658.100 1.01
10660.800 1.00
10663.600 1.00
10666.400 1.00
10669.200 0.99
10672.000 0.99
10674.800 1.00
10677.600 1.00
10680.400 0.99
10683.200 1.00
10686.000 0.99
10688.800 0.98
10691.500 0.98
10694.300 0.99
10697.100 0.99
10699.900 1.00
10702.700 1.02
10705.500 0.98
10708.300 0.99
10711.100 0.99
10713.800 0.96
10716.600 0.95
10719.400 0.98
10722.200 0.95
10725.000 0.95
10727.800 0.95
10730.500 0.95
10733.300 0.96
10736.100 1.00
10738.900 0.98
10741.700 0.99
10744.400 0.94
10747.200 0.93
10750.000 0.86
10752.800 0.89
10755.600 0.93
10758.300 0.97
10761.100 0.93
10763.900 0.91
10766.700 0.85
10769.400 0.82
10772.200 0.77
10775.000 0.80
10777.800 0.85
10780.500 0.83
10783.300 0.79
10786.100 0.82
10788.900 0.80
10791.600 0.77
10794.400 0.88
10797.200 0.92
10800.000 0.89
10802.700 0.92
10805.500 0.92
10808.300 0.87
10811.000 0.85
10813.800 0.85
10816.600 0.83
10819.300 0.83
10822.100 0.83
10824.900 0.81
10827.600 0.81
10830.400 0.79
10833.200 0.85
10835.900 0.80
10838.700 0.81
10841.500 0.84
10844.200 0.87
10847.000 0.90
10849.800 0.90
10852.500 0.93
10855.300 0.93
10858.100 0.96
10860.800 0.94
10863.600 1.03
10866.300 1.05
10869.100 1.07
10871.900 1.05
10874.600 1.03
10877.400 0.97
10880.100 0.94
10882.900 0.94
10885.700 0.95
10888.400 0.96
10891.200 1.00
10893.900 1.03
10896.700 1.04
10899.400 1.03
10902.200 1.03
10905.000 1.01
10907.700 1.02
10910.500 1.01
10913.200 1.01
10916.000 1.01
10918.700 1.03
10921.500 1.03
10924.200 1.03
10927.000 1.02
10929.700 1.03
10932.500 1.02
10935.200 1.03
10938.000 1.03
10940.700 1.04
10943.500 1.04
10946.200 1.05
10949.000 1.01
10951.700 1.04
10954.500 1.00
10957.200 1.00
10960.000 0.99
10962.700 1.02
10965.500 0.99
10968.200 1.00
10970.900 1.00
10973.700 1.01
10976.400 1.01
10979.200 1.02
10981.900 1.04
10984.700 1.02
10987.400 1.03
10990.100 0.97
10992.900 0.95
10995.600 0.94
10998.400 0.95
11001.100 0.89
11003.800 0.91
11006.600 0.91
11009.300 0.88
11012.100 0.89
11014.800 0.93
11017.500 1.02
11020.300 1.01
11023.000 1.03
11025.700 1.03
11028.500 0.97
11031.200 0.92
11033.900 0.94
11036.700 0.98
11039.400 0.95
11042.100 0.98
11044.900 0.97
11047.600 0.90
11050.300 0.83
11053.100 0.82
11055.800 0.83
11058.500 0.83
11061.300 0.90
11064.000 0.92
11066.700 0.84
11069.500 0.89
11072.200 0.91
11074.900 0.83
11077.600 0.91
11080.400 1.03
11083.100 0.86
11085.800 0.79
11088.500 0.88
11091.300 0.82
11094.000 0.76
11096.700 0.82
11099.400 0.82
11102.200 0.80
11104.900 0.73
11107.600 0.76
11110.300 0.70
11113.100 0.69
11115.800 0.67
11118.500 0.62
11121.200 0.74
11123.900 0.78
11126.700 0.75
11129.400 0.66
11132.100 0.71
11134.800 0.56
11137.500 0.50
11140.300 0.59
11143.000 0.66
11145.700 0.62
11148.400 0.53
11151.100 0.58
11153.800 0.60
11156.600 0.64
11159.300 0.79
11162.000 0.98
11164.700 0.99
11167.400 1.17
11170.100 0.99
11172.800 0.70
11175.500 0.62
11178.300 0.48
11181.000 0.44
11183.700 0.57
11186.400 0.49
11189.100 0.49
11191.800 0.62
11194.500 0.55
11197.200 0.45
11199.900 0.52
11202.600 0.46
